BOM533022,20 MICRONS LTD.,<option value=',>,</option>,<option value='BOM533022|20 MICRONS LTD.'>20 MICRONS LTD.</option>
BOM532628,3I INFOTECH LTD.,<option value=',>,</option>,<option value='BOM532628|3I INFOTECH LTD.'>3I INFOTECH LTD.</option>
BOM523395,3M INDIA LTD.,<option value=',>,</option>,<option value='BOM523395|3M INDIA LTD.'>3M INDIA LTD.</option>
BOM526881,63 Moons Technologies Ltd,<option value=',>,</option>,<option value='BOM526881|63 Moons Technologies Ltd'>63 Moons Technologies Ltd</option>
BOM540615,7NR Retail Ltd,<option value=',>,</option>,<option value='BOM540615|7NR Retail Ltd'>7NR Retail Ltd</option>
BOM512161,8K MILES SOFTWARE SERVICES LTD.,<option value=',>,</option>,<option value='BOM512161|8K MILES SOFTWARE SERVICES LTD.'>8K MILES SOFTWARE SERVICES LTD.</option>
BOM540697,A &#38;amp; M Febcon Ltd,<option value=',>,</option>,<option value='BOM540697|A &#38;amp; M Febcon Ltd'>A &#38;amp; M Febcon Ltd</option>
BOM539620,A Infrastructure Ltd,<option value=',>,</option>,<option value='BOM539620|A Infrastructure Ltd'>A Infrastructure Ltd</option>
BOM538351,A.F. Enterprises Ltd,<option value=',>,</option>,<option value='BOM538351|A.F. Enterprises Ltd'>A.F. Enterprises Ltd</option>
BOM539300,A.K. Spintex Ltd,<option value=',>,</option>,<option value='BOM539300|A.K. Spintex Ltd'>A.K. Spintex Ltd</option>
BOM530499,A.K.CAPITAL SERVICES LTD.,<option value=',>,</option>,<option value='BOM530499|A.K.CAPITAL SERVICES LTD.'>A.K.CAPITAL SERVICES LTD.</option>
BOM533292,A2Z Infra Engineering Limited,<option value=',>,</option>,<option value='BOM533292|A2Z Infra Engineering Limited'>A2Z Infra Engineering Limited</option>
BOM539096,Aananda Lakshmi Spinning Mills Ltd,<option value=',>,</option>,<option value='BOM539096|Aananda Lakshmi Spinning Mills Ltd'>Aananda Lakshmi Spinning Mills Ltd</option>
BOM538812,Aanchal Ispat Ltd,<option value=',>,</option>,<option value='BOM538812|Aanchal Ispat Ltd'>Aanchal Ispat Ltd</option>
BOM539632,AAR Commercial Company Ltd,<option value=',>,</option>,<option value='BOM539632|AAR Commercial Company Ltd'>AAR Commercial Company Ltd</option>
BOM524412,AAREY DRUGS &#38;amp; PHARMACEUTICALS LTD.,<option value=',>,</option>,<option value='BOM524412|AAREY DRUGS &#38;amp; PHARMACEUTICALS LTD.'>AAREY DRUGS &#38;amp; PHARMACEUTICALS LTD.</option>
BOM524348,AARTI DRUGS LTD.,<option value=',>,</option>,<option value='BOM524348|AARTI DRUGS LTD.'>AARTI DRUGS LTD.</option>
BOM524208,AARTI INDUSTRIES LTD.,<option value=',>,</option>,<option value='BOM524208|AARTI INDUSTRIES LTD.'>AARTI INDUSTRIES LTD.</option>
BOM526488,AARV Infratel Ltd,<option value=',>,</option>,<option value='BOM526488|AARV Infratel Ltd'>AARV Infratel Ltd</option>
BOM514274,AARVEE DENIMS &#38;amp; EXPORTS LTD.,<option value=',>,</option>,<option value='BOM514274|AARVEE DENIMS &#38;amp; EXPORTS LTD.'>AARVEE DENIMS &#38;amp; EXPORTS LTD.</option>
BOM519319,AASHEE INFOTECH LTD.,<option value=',>,</option>,<option value='BOM519319|AASHEE INFOTECH LTD.'>AASHEE INFOTECH LTD.</option>
BOM512038,AASWA TRADING &#38;amp; EXPORTS LTD.,<option value=',>,</option>,<option value='BOM512038|AASWA TRADING &#38;amp; EXPORTS LTD.'>AASWA TRADING &#38;amp; EXPORTS LTD.</option>
BOM539528,Aayush Food and Herbs Ltd,<option value=',>,</option>,<option value='BOM539528|Aayush Food and Herbs Ltd'>Aayush Food and Herbs Ltd</option>
BOM523204,ABAN OFFSHORE LTD.,<option value=',>,</option>,<option value='BOM523204|ABAN OFFSHORE LTD.'>ABAN OFFSHORE LTD.</option>
BOM512165,ABans Enterprises Ltd,<option value=',>,</option>,<option value='BOM512165|ABans Enterprises Ltd'>ABans Enterprises Ltd</option>
BOM500002,ABB India Limited,<option value=',>,</option>,<option value='BOM500002|ABB India Limited'>ABB India Limited</option>
BOM500488,ABBOTT INDIA LTD.,<option value=',>,</option>,<option value='BOM500488|ABBOTT INDIA LTD.'>ABBOTT INDIA LTD.</option>
BOM505665,ABC BEARINGS LTD.-$,<option value=',>,</option>,<option value='BOM505665|ABC BEARINGS LTD.-$'>ABC BEARINGS LTD.-$</option>
BOM513119,ABC GAS (INTERNATIONAL) LTD.,<option value=',>,</option>,<option value='BOM513119|ABC GAS (INTERNATIONAL) LTD.'>ABC GAS (INTERNATIONAL) LTD.</option>
BOM520123,ABC INDIA LTD.-$,<option value=',>,</option>,<option value='BOM520123|ABC INDIA LTD.-$'>ABC INDIA LTD.-$</option>
BOM532682,ABG SHIPYARD LTD.,<option value=',>,</option>,<option value='BOM532682|ABG SHIPYARD LTD.'>ABG SHIPYARD LTD.</option>
BOM539560,Abhijit Trading Company Ltd,<option value=',>,</option>,<option value='BOM539560|Abhijit Trading Company Ltd'>Abhijit Trading Company Ltd</option>
BOM532057,ABHINAV CAPITAL SERVICES LTD.,<option value=',>,</option>,<option value='BOM532057|ABHINAV CAPITAL SERVICES LTD.'>ABHINAV CAPITAL SERVICES LTD.</option>
BOM538952,Abhinav Leasing &#38;amp; Finance Ltd,<option value=',>,</option>,<option value='BOM538952|Abhinav Leasing &#38;amp; Finance Ltd'>Abhinav Leasing &#38;amp; Finance Ltd</option>
BOM532831,ABHISHEK CORPORATION LTD.,<option value=',>,</option>,<option value='BOM532831|ABHISHEK CORPORATION LTD.'>ABHISHEK CORPORATION LTD.</option>
BOM538935,Abhishek Finlease Ltd,<option value=',>,</option>,<option value='BOM538935|Abhishek Finlease Ltd'>Abhishek Finlease Ltd</option>
BOM539544,Abhishek Infraventures Ltd,<option value=',>,</option>,<option value='BOM539544|Abhishek Infraventures Ltd'>Abhishek Infraventures Ltd</option>
BOM511756,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,<option value=',>,</option>,<option value='BOM511756|ABIRAMI FINANCIAL SERVICES (INDIA) LTD.'>ABIRAMI FINANCIAL SERVICES (INDIA) LTD.</option>
BOM531161,ABM KNOWLEDGEWARE LTD.,<option value=',>,</option>,<option value='BOM531161|ABM KNOWLEDGEWARE LTD.'>ABM KNOWLEDGEWARE LTD.</option>
BOM500410,ACC LTD.,<option value=',>,</option>,<option value='BOM500410|ACC LTD.'>ACC LTD.</option>
BOM517494,ACCEL TRANSMATIC LTD.,<option value=',>,</option>,<option value='BOM517494|ACCEL TRANSMATIC LTD.'>ACCEL TRANSMATIC LTD.</option>
BOM532268,Accelya Kale Solutions Limitd,<option value=',>,</option>,<option value='BOM532268|Accelya Kale Solutions Limitd'>Accelya Kale Solutions Limitd</option>
BOM530093,ACE Edutrend Ltd,<option value=',>,</option>,<option value='BOM530093|ACE Edutrend Ltd'>ACE Edutrend Ltd</option>
BOM539661,Ace Men Engg Works Ltd,<option value=',>,</option>,<option value='BOM539661|Ace Men Engg Works Ltd'>Ace Men Engg Works Ltd</option>
BOM531525,ACE SOFTWARE EXPORTS LTD.-$,<option value=',>,</option>,<option value='BOM531525|ACE SOFTWARE EXPORTS LTD.-$'>ACE SOFTWARE EXPORTS LTD.-$</option>
BOM538570,Achal Investments Ltd,<option value=',>,</option>,<option value='BOM538570|Achal Investments Ltd'>Achal Investments Ltd</option>
BOM517356,ACI INFOCOM LTD.,<option value=',>,</option>,<option value='BOM517356|ACI INFOCOM LTD.'>ACI INFOCOM LTD.</option>
BOM530043,ACKNIT INDUSTRIES LTD.,<option value=',>,</option>,<option value='BOM530043|ACKNIT INDUSTRIES LTD.'>ACKNIT INDUSTRIES LTD.</option>
BOM539391,Acme Resources Ltd,<option value=',>,</option>,<option value='BOM539391|Acme Resources Ltd'>Acme Resources Ltd</option>
BOM513149,ACROW INDIA LTD.,<option value=',>,</option>,<option value='BOM513149|ACROW INDIA LTD.'>ACROW INDIA LTD.</option>
BOM524091,ACRYSIL LTD.,<option value=',>,</option>,<option value='BOM524091|ACRYSIL LTD.'>ACRYSIL LTD.</option>
BOM532762,ACTION CONSTRUCTION EQUIPMENT LTD.,<option value=',>,</option>,<option value='BOM532762|ACTION CONSTRUCTION EQUIPMENT LTD.'>ACTION CONSTRUCTION EQUIPMENT LTD.</option>
BOM511706,ACTION FINANCIAL SERVICES (INDIA) LTD.,<option value=',>,</option>,<option value='BOM511706|ACTION FINANCIAL SERVICES (INDIA) LTD.'>ACTION FINANCIAL SERVICES (INDIA) LTD.</option>
BOM512599,ADANI ENTERPRISES LTD.,<option value=',>,</option>,<option value='BOM512599|ADANI ENTERPRISES LTD.'>ADANI ENTERPRISES LTD.</option>
