20MICRONS,20 Microns Limited,<option value=',>,</option>,<option value='20MICRONS|20 Microns Limited'>20 Microns Limited</option>
3IINFOTECH,3i Infotech Limited,<option value=',>,</option>,<option value='3IINFOTECH|3i Infotech Limited'>3i Infotech Limited</option>
3MINDIA,3M India Limited,<option value=',>,</option>,<option value='3MINDIA|3M India Limited'>3M India Limited</option>
63MOONS,63 moons technologies limited,<option value=',>,</option>,<option value='63MOONS|63 moons technologies limited'>63 moons technologies limited</option>
8KMILES,8K Miles Software Services Limited,<option value=',>,</option>,<option value='8KMILES|8K Miles Software Services Limited'>8K Miles Software Services Limited</option>
A2ZINFRA,A2Z Infra Engineering Limited,<option value=',>,</option>,<option value='A2ZINFRA|A2Z Infra Engineering Limited'>A2Z Infra Engineering Limited</option>
AARTIDRUGS,Aarti Drugs Limited,<option value=',>,</option>,<option value='AARTIDRUGS|Aarti Drugs Limited'>Aarti Drugs Limited</option>
AARTIIND,Aarti Industries Limited,<option value=',>,</option>,<option value='AARTIIND|Aarti Industries Limited'>Aarti Industries Limited</option>
AARVEEDEN,Aarvee Denims  &#38;  Exports Limited,<option value=',>,</option>,<option value='AARVEEDEN|Aarvee Denims  &#38;  Exports Limited'>Aarvee Denims  &#38;  Exports Limited</option>
ABAN,Aban Offshore Limited,<option value=',>,</option>,<option value='ABAN|Aban Offshore Limited'>Aban Offshore Limited</option>
ABB,ABB India Limited,<option value=',>,</option>,<option value='ABB|ABB India Limited'>ABB India Limited</option>
ABBOTINDIA,Abbott India Limited,<option value=',>,</option>,<option value='ABBOTINDIA|Abbott India Limited'>Abbott India Limited</option>
ABCAPITAL,Aditya Birla Capital Limited,<option value=',>,</option>,<option value='ABCAPITAL|Aditya Birla Capital Limited'>Aditya Birla Capital Limited</option>
ABFRL,Aditya Birla Fashion and Retail Limited,<option value=',>,</option>,<option value='ABFRL|Aditya Birla Fashion and Retail Limited'>Aditya Birla Fashion and Retail Limited</option>
ABGSHIP,ABG Shipyard Limited,<option value=',>,</option>,<option value='ABGSHIP|ABG Shipyard Limited'>ABG Shipyard Limited</option>
ABMINTLTD,ABM International Limited,<option value=',>,</option>,<option value='ABMINTLTD|ABM International Limited'>ABM International Limited</option>
ACC,ACC Limited,<option value=',>,</option>,<option value='ACC|ACC Limited'>ACC Limited</option>
ACCELYA,Accelya Kale Solutions Limited,<option value=',>,</option>,<option value='ACCELYA|Accelya Kale Solutions Limited'>Accelya Kale Solutions Limited</option>
ACE,Action Construction Equipment Limited,<option value=',>,</option>,<option value='ACE|Action Construction Equipment Limited'>Action Construction Equipment Limited</option>
ADANIENT,Adani Enterprises Limited,<option value=',>,</option>,<option value='ADANIENT|Adani Enterprises Limited'>Adani Enterprises Limited</option>
ADANIPORTS,Adani Ports and Special Economic Zone Limited,<option value=',>,</option>,<option value='ADANIPORTS|Adani Ports and Special Economic Zone Limited'>Adani Ports and Special Economic Zone Limited</option>
ADANIPOWER,Adani Power Limited,<option value=',>,</option>,<option value='ADANIPOWER|Adani Power Limited'>Adani Power Limited</option>
ADANITRANS,Adani Transmission Limited,<option value=',>,</option>,<option value='ADANITRANS|Adani Transmission Limited'>Adani Transmission Limited</option>
ADFFOODS,ADF Foods Limited,<option value=',>,</option>,<option value='ADFFOODS|ADF Foods Limited'>ADF Foods Limited</option>
ADHUNIK,Adhunik Metaliks Limited,<option value=',>,</option>,<option value='ADHUNIK|Adhunik Metaliks Limited'>Adhunik Metaliks Limited</option>
ADHUNIKIND,Adhunik Industries Limited,<option value=',>,</option>,<option value='ADHUNIKIND|Adhunik Industries Limited'>Adhunik Industries Limited</option>
ADLABS,Adlabs Entertainment Limited,<option value=',>,</option>,<option value='ADLABS|Adlabs Entertainment Limited'>Adlabs Entertainment Limited</option>
ADORWELD,Ador Welding Limited,<option value=',>,</option>,<option value='ADORWELD|Ador Welding Limited'>Ador Welding Limited</option>
ADSL,Allied Digital Services Limited,<option value=',>,</option>,<option value='ADSL|Allied Digital Services Limited'>Allied Digital Services Limited</option>
ADVANIHOTR,Advani Hotels  &#38;  Resorts (India) Limited,<option value=',>,</option>,<option value='ADVANIHOTR|Advani Hotels  &#38;  Resorts (India) Limited'>Advani Hotels  &#38;  Resorts (India) Limited</option>
ADVENZYMES,Advanced Enzyme Technologies Limited,<option value=',>,</option>,<option value='ADVENZYMES|Advanced Enzyme Technologies Limited'>Advanced Enzyme Technologies Limited</option>
AEGISCHEM,Aegis Logistics Limited,<option value=',>,</option>,<option value='AEGISCHEM|Aegis Logistics Limited'>Aegis Logistics Limited</option>
AGARIND,Agarwal Industrial Corporation Limited,<option value=',>,</option>,<option value='AGARIND|Agarwal Industrial Corporation Limited'>Agarwal Industrial Corporation Limited</option>
AGCNET,AGC Networks Limited,<option value=',>,</option>,<option value='AGCNET|AGC Networks Limited'>AGC Networks Limited</option>
AGLSL,Artemis Global Life Sciences Limited,<option value=',>,</option>,<option value='AGLSL|Artemis Global Life Sciences Limited'>Artemis Global Life Sciences Limited</option>
AGRITECH,Agri-Tech (India) Limited,<option value=',>,</option>,<option value='AGRITECH|Agri-Tech (India) Limited'>Agri-Tech (India) Limited</option>
AHLEAST,Asian Hotels (East) Limited,<option value=',>,</option>,<option value='AHLEAST|Asian Hotels (East) Limited'>Asian Hotels (East) Limited</option>
AHLUCONT,Ahluwalia Contracts (India) Limited,<option value=',>,</option>,<option value='AHLUCONT|Ahluwalia Contracts (India) Limited'>Ahluwalia Contracts (India) Limited</option>
AHLWEST,Asian Hotels (West) Limited,<option value=',>,</option>,<option value='AHLWEST|Asian Hotels (West) Limited'>Asian Hotels (West) Limited</option>
AIAENG,AIA Engineering Limited,<option value=',>,</option>,<option value='AIAENG|AIA Engineering Limited'>AIA Engineering Limited</option>
AICHAMP,AI Champdany Industries Limited,<option value=',>,</option>,<option value='AICHAMP|AI Champdany Industries Limited'>AI Champdany Industries Limited</option>
AIFL,Ashapura Intimates Fashion Limited,<option value=',>,</option>,<option value='AIFL|Ashapura Intimates Fashion Limited'>Ashapura Intimates Fashion Limited</option>
AJANTPHARM,Ajanta Pharma Limited,<option value=',>,</option>,<option value='AJANTPHARM|Ajanta Pharma Limited'>Ajanta Pharma Limited</option>
AJMERA,Ajmera Realty  &#38;  Infra India Limited,<option value=',>,</option>,<option value='AJMERA|Ajmera Realty  &#38;  Infra India Limited'>Ajmera Realty  &#38;  Infra India Limited</option>
AKSHARCHEM,AksharChem India Limited,<option value=',>,</option>,<option value='AKSHARCHEM|AksharChem India Limited'>AksharChem India Limited</option>
AKSHOPTFBR,Aksh Optifibre Limited,<option value=',>,</option>,<option value='AKSHOPTFBR|Aksh Optifibre Limited'>Aksh Optifibre Limited</option>
AKZOINDIA,Akzo Nobel India Limited,<option value=',>,</option>,<option value='AKZOINDIA|Akzo Nobel India Limited'>Akzo Nobel India Limited</option>
ALANKIT,Alankit Limited,<option value=',>,</option>,<option value='ALANKIT|Alankit Limited'>Alankit Limited</option>
ALBERTDAVD,Albert David Limited,<option value=',>,</option>,<option value='ALBERTDAVD|Albert David Limited'>Albert David Limited</option>
ALBK,Allahabad Bank,<option value=',>,</option>,<option value='ALBK|Allahabad Bank'>Allahabad Bank</option>
ALCHEM,Alchemist Limited,<option value=',>,</option>,<option value='ALCHEM|Alchemist Limited'>Alchemist Limited</option>
ALEMBICLTD,Alembic Limited,<option value=',>,</option>,<option value='ALEMBICLTD|Alembic Limited'>Alembic Limited</option>
ALICON,Alicon Castalloy Limited,<option value=',>,</option>,<option value='ALICON|Alicon Castalloy Limited'>Alicon Castalloy Limited</option>
ALKALI,Alkali Metals Limited,<option value=',>,</option>,<option value='ALKALI|Alkali Metals Limited'>Alkali Metals Limited</option>
ALKEM,Alkem Laboratories Limited,<option value=',>,</option>,<option value='ALKEM|Alkem Laboratories Limited'>Alkem Laboratories Limited</option>
ALKYLAMINE,Alkyl Amines Chemicals Limited,<option value=',>,</option>,<option value='ALKYLAMINE|Alkyl Amines Chemicals Limited'>Alkyl Amines Chemicals Limited</option>
ALLCARGO,Allcargo Logistics Limited,<option value=',>,</option>,<option value='ALLCARGO|Allcargo Logistics Limited'>Allcargo Logistics Limited</option>
ALLSEC,Allsec Technologies Limited,<option value=',>,</option>,<option value='ALLSEC|Allsec Technologies Limited'>Allsec Technologies Limited</option>
ALMONDZ,Almondz Global Securities Limited,<option value=',>,</option>,<option value='ALMONDZ|Almondz Global Securities Limited'>Almondz Global Securities Limited</option>
ALOKTEXT,Alok Industries Limited,<option value=',>,</option>,<option value='ALOKTEXT|Alok Industries Limited'>Alok Industries Limited</option>
ALPA,Alpa Laboratories Limited,<option value=',>,</option>,<option value='ALPA|Alpa Laboratories Limited'>Alpa Laboratories Limited</option>
ALPHAGEO,Alphageo (India) Limited,<option value=',>,</option>,<option value='ALPHAGEO|Alphageo (India) Limited'>Alphageo (India) Limited</option>
ALPSINDUS,Alps Industries Limited,<option value=',>,</option>,<option value='ALPSINDUS|Alps Industries Limited'>Alps Industries Limited</option>
AMARAJABAT,Amara Raja Batteries Limited,<option value=',>,</option>,<option value='AMARAJABAT|Amara Raja Batteries Limited'>Amara Raja Batteries Limited</option>
AMBIKCO,Ambika Cotton Mills Limited,<option value=',>,</option>,<option value='AMBIKCO|Ambika Cotton Mills Limited'>Ambika Cotton Mills Limited</option>
AMBUJACEM,Ambuja Cements Limited,<option value=',>,</option>,<option value='AMBUJACEM|Ambuja Cements Limited'>Ambuja Cements Limited</option>
AMDIND,AMD Industries Limited,<option value=',>,</option>,<option value='AMDIND|AMD Industries Limited'>AMD Industries Limited</option>
AMRUTANJAN,Amrutanjan Health Care Limited,<option value=',>,</option>,<option value='AMRUTANJAN|Amrutanjan Health Care Limited'>Amrutanjan Health Care Limited</option>
AMTEKAUTO,Amtek Auto Limited,<option value=',>,</option>,<option value='AMTEKAUTO|Amtek Auto Limited'>Amtek Auto Limited</option>
ANANTRAJ,Anant Raj Limited,<option value=',>,</option>,<option value='ANANTRAJ|Anant Raj Limited'>Anant Raj Limited</option>
ANDHRABANK,Andhra Bank,<option value=',>,</option>,<option value='ANDHRABANK|Andhra Bank'>Andhra Bank</option>
ANDHRACEMT,Andhra Cements Limited,<option value=',>,</option>,<option value='ANDHRACEMT|Andhra Cements Limited'>Andhra Cements Limited</option>
ANDHRSUGAR,The Andhra Sugars Limited,<option value=',>,</option>,<option value='ANDHRSUGAR|The Andhra Sugars Limited'>The Andhra Sugars Limited</option>
ANGIND,ANG Industries Limited,<option value=',>,</option>,<option value='ANGIND|ANG Industries Limited'>ANG Industries Limited</option>
ANIKINDS,Anik Industries Limited,<option value=',>,</option>,<option value='ANIKINDS|Anik Industries Limited'>Anik Industries Limited</option>
ANSALAPI,Ansal Properties  &#38;  Infrastructure Limited,<option value=',>,</option>,<option value='ANSALAPI|Ansal Properties  &#38;  Infrastructure Limited'>Ansal Properties  &#38;  Infrastructure Limited</option>
ANSALHSG,Ansal Housing and Construction Limited,<option value=',>,</option>,<option value='ANSALHSG|Ansal Housing and Construction Limited'>Ansal Housing and Construction Limited</option>
ANTGRAPHIC,Antarctica Limited,<option value=',>,</option>,<option value='ANTGRAPHIC|Antarctica Limited'>Antarctica Limited</option>
APARINDS,Apar Industries Limited,<option value=',>,</option>,<option value='APARINDS|Apar Industries Limited'>Apar Industries Limited</option>
APCL,Anjani Portland Cement Limited,<option value=',>,</option>,<option value='APCL|Anjani Portland Cement Limited'>Anjani Portland Cement Limited</option>
APCOTEXIND,Apcotex Industries Limited,<option value=',>,</option>,<option value='APCOTEXIND|Apcotex Industries Limited'>Apcotex Industries Limited</option>
APEX,Apex Frozen Foods Limited,<option value=',>,</option>,<option value='APEX|Apex Frozen Foods Limited'>Apex Frozen Foods Limited</option>
APLAPOLLO,APL Apollo Tubes Limited,<option value=',>,</option>,<option value='APLAPOLLO|APL Apollo Tubes Limited'>APL Apollo Tubes Limited</option>
APLLTD,Alembic Pharmaceuticals Limited,<option value=',>,</option>,<option value='APLLTD|Alembic Pharmaceuticals Limited'>Alembic Pharmaceuticals Limited</option>
APOLLOHOSP,Apollo Hospitals Enterprise Limited,<option value=',>,</option>,<option value='APOLLOHOSP|Apollo Hospitals Enterprise Limited'>Apollo Hospitals Enterprise Limited</option>
APOLLOTYRE,Apollo Tyres Limited,<option value=',>,</option>,<option value='APOLLOTYRE|Apollo Tyres Limited'>Apollo Tyres Limited</option>
APOLSINHOT,Apollo Sindoori Hotels Limited,<option value=',>,</option>,<option value='APOLSINHOT|Apollo Sindoori Hotels Limited'>Apollo Sindoori Hotels Limited</option>
APTECHT,Aptech Limited,<option value=',>,</option>,<option value='APTECHT|Aptech Limited'>Aptech Limited</option>
ARCHIDPLY,Archidply Industries Limited,<option value=',>,</option>,<option value='ARCHIDPLY|Archidply Industries Limited'>Archidply Industries Limited</option>
ARCHIES,Archies Limited,<option value=',>,</option>,<option value='ARCHIES|Archies Limited'>Archies Limited</option>
ARCOTECH,Arcotech Limited,<option value=',>,</option>,<option value='ARCOTECH|Arcotech Limited'>Arcotech Limited</option>
ARENTERP,Rajdarshan Industries Limited,<option value=',>,</option>,<option value='ARENTERP|Rajdarshan Industries Limited'>Rajdarshan Industries Limited</option>
ARENTERP,Rajdarshan Industries Limited,<option value=',>,</option>,<option value='ARENTERP|Rajdarshan Industries Limited'>Rajdarshan Industries Limited</option>
ARIES,Aries Agro Limited,<option value=',>,</option>,<option value='ARIES|Aries Agro Limited'>Aries Agro Limited</option>
ARIHANT,Arihant Foundations  &#38;  Housing Limited,<option value=',>,</option>,<option value='ARIHANT|Arihant Foundations  &#38;  Housing Limited'>Arihant Foundations  &#38;  Housing Limited</option>
